"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"378" "C1261287" "manuel_jdz2" NA NA NA "0" NA
"382" "C0332853" "manuel_jdz2" NA NA NA "0" NA
"383" "C0600142" "manuel_jdz2" NA NA NA "0" NA
"384" "C0038580" "manuel_jdz2" NA NA NA "18" NA
"385" "C0038580" "manuel_jdz2" NA NA NA "18" NA
"386" "C0011168" "manuel_jdz2" NA NA NA "0" NA
"387" "C0242510" "manuel_jdz2" NA NA NA "18" NA
"388" "C0242488" "manuel_jdz2" NA NA NA "0" NA
"389" "C0085631" "manuel_jdz2" NA NA NA "0" NA
"390" "C0282666" "manuel_jdz2" NA NA NA "0" NA
"3911" "C0000737" "manuel_jdz2" NA NA NA "0" NA
"392" "C0574785" "manuel_jdz2" NA NA NA "0" NA
"393" "C0032787" "manuel_jdz2" NA NA NA "0" NA
"394" "C0043241" "manuel_jdz2" NA NA NA "0" NA
"395" "C0237123" "manuel_jdz2" NA NA NA "18" NA
"396" "C0237123" "manuel_jdz2" NA NA NA "18" NA
"397" "C0011560" "manuel_jdz2" NA NA NA "0" NA
"398" "C1517205" "manuel_jdz2" NA NA NA "0" NA
"399" "C0013604" "manuel_jdz2" NA NA NA "0" NA
"402" "C0021167" "manuel_jdz2" NA NA NA "0" NA
"403" "C0036877" "manuel_jdz2" NA NA NA "0" NA
"404" "C0038586" "manuel_jdz2" NA NA NA "18" NA
"405" "C0038586" "manuel_jdz2" NA NA NA "18" NA
"406" "C0006625" "manuel_jdz2" NA NA NA "0" NA
"407" "C0332568" "manuel_jdz2" NA NA NA "0" NA
"408" "C0332840" "manuel_jdz2" NA NA NA "0" NA
"4111" "C0015732" "manuel_jdz2" NA NA NA "0" NA
"412" "C0343641" "manuel_jdz2" NA NA NA "0" NA
"413" "C0004930" "manuel_jdz2" NA NA NA "0" NA
"414" "C0243083" "manuel_jdz2" NA NA NA "0" NA
"415" "C0236969" "manuel_jdz2" NA NA NA "0" NA
"416" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"417" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"418" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"419" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"420" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"4211" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"422" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"423" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"424" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"425" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"426" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"427" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"428" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"429" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"430" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"4311" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"432" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"433" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"434" "C0677932" "manuel_jdz2" NA NA NA "12" NA
"435" "C0677932" "manuel_jdz2" NA NA NA "12" NA
