"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"C1336186.C0006826.16" "C1336186" "G/P" "C0006826" "C00-C97.9" "C15" 49 NA
"C1336186.C0006826.17" "C1336186" "G/P" "C0006826" "C00-C97.9" "C16" 50 NA
"C1336186.C0006826.18" "C1336186" "G/P" "C0006826" "C00-C97.9" "C17" NA "A0"
"C1336186.C0006826.19" "C1336186" "G/P" "C0006826" "C00-C97.9" "C18" 58 NA
"C1336186.C0006826.20" "C1336186" "G/P" "C0006826" "C00-C97.9" "C19" 58 NA
"C1336186.C0006826.21" "C1336186" "G/P" "C0006826" "C00-C97.9" "C20" 58 NA
"C1336186.C0006826.22" "C1336186" "G/P" "C0006826" "C00-C97.9" "C21" 58 NA
"C1336186.C0006826.23" "C1336186" "G/P" "C0006826" "C00-C97.9" "C22" 51 NA
"C1336186.C0006826.24" "C1336186" "G/P" "C0006826" "C00-C97.9" "C23" 62 NA
"C1336186.C0006826.25" "C1336186" "G/P" "C0006826" "C00-C97.9" "C24" 62 NA
"C1336186.C0006826.26" "C1336186" "G/P" "C0006826" "C00-C97.9" "C25" 63 NA
"C1336186.C0006826.27" "C1336186" "G/P" "C0006826" "C00-C97.9" "C26" NA "A0"
"C1336186.C0006826.28" "C1336186" "G/P" "C0006826" "C00-C97.9" "C27" NA "A0"
"C1336186.C0006826.29" "C1336186" "G/P" "C0006826" "C00-C97.9" "C28" NA "A0"
"C1336186.C0006826.30" "C1336186" "G/P" "C0006826" "C00-C97.9" "C29" NA "A0"
"C1336186.C0006826.31" "C1336186" "G/P" "C0006826" "C00-C97.9" "C30" NA "A0"
"C1336186.C0006826.32" "C1336186" "G/P" "C0006826" "C00-C97.9" "C31" NA "A0"
"C1336186.C0006826.33" "C1336186" "G/P" "C0006826" "C00-C97.9" "C32" 52 NA
"C1336186.C0006826.34" "C1336186" "G/P" "C0006826" "C00-C97.9" "C33" 53 NA
"C1336186.C0006826.35" "C1336186" "G/P" "C0006826" "C00-C97.9" "C34" 53 NA
"C1336186.C0006826.36" "C1336186" "G/P" "C0006826" "C00-C97.9" "C35" NA "A0"
"C1336186.C0006826.37" "C1336186" "G/P" "C0006826" "C00-C97.9" "C36" NA "A0"
"C1336186.C0006826.38" "C1336186" "G/P" "C0006826" "C00-C97.9" "C37" NA "A0"
"C1336186.C0006826.39" "C1336186" "G/P" "C0006826" "C00-C97.9" "C38" NA "A0"
"C1336186.C0006826.40" "C1336186" "G/P" "C0006826" "C00-C97.9" "C39" NA "A0"
"C1336186.C0006826.41" "C1336186" "G/P" "C0006826" "C00-C97.9" "C40" NA "A0"
"C1336186.C0006826.42" "C1336186" "G/P" "C0006826" "C00-C97.9" "C41" NA "A0"
"C1336186.C0006826.43" "C1336186" "G/P" "C0006826" "C00-C97.9" "C42" NA "A0"
"C1336186.C0006826.44" "C1336186" "G/P" "C0006826" "C00-C97.9" "C43" 64 NA
"C1336186.C0006826.45" "C1336186" "G/P" "C0006826" "C00-C97.9" "C44" 65 NA
"C1336186.C0006826.46" "C1336186" "G/P" "C0006826" "C00-C97.9" "C45" NA "A0"
"C1336186.C0006826.47" "C1336186" "G/P" "C0006826" "C00-C97.9" "C46" 2 NA
"C1336186.C0006826.48" "C1336186" "G/P" "C0006826" "C00-C97.9" "C47" NA "A0"
"C1336186.C0006826.49" "C1336186" "G/P" "C0006826" "C00-C97.9" "C48" NA "A0"
"C1336186.C0006826.50" "C1336186" "G/P" "C0006826" "C00-C97.9" "C49" NA "A0"
"C1336186.C0006826.51" "C1336186" "G/P" "C0006826" "C00-C97.9" "C50" 54 NA
"C1336186.C0006826.52" "C1336186" "G/P" "C0006826" "C00-C97.9" "C51" NA "A0"
"C1336186.C0006826.53" "C1336186" "G/P" "C0006826" "C00-C97.9" "C52" NA "A0"
"C1336186.C0006826.54" "C1336186" "G/P" "C0006826" "C00-C97.9" "C53" 55 NA
"C1336186.C0006826.55" "C1336186" "G/P" "C0006826" "C00-C97.9" "C54" 56 NA
"C1336186.C0006826.56" "C1336186" "G/P" "C0006826" "C00-C97.9" "C55" NA "A0"
"C1336186.C0006826.57" "C1336186" "G/P" "C0006826" "C00-C97.9" "C56" 66 NA
"C1336186.C0006826.58" "C1336186" "G/P" "C0006826" "C00-C97.9" "C57" NA "A0"
"C1336186.C0006826.59" "C1336186" "G/P" "C0006826" "C00-C97.9" "C58" NA "A0"
"C1336186.C0006826.60" "C1336186" "G/P" "C0006826" "C00-C97.9" "C59" NA "A0"
"C1336186.C0006826.61" "C1336186" "G/P" "C0006826" "C00-C97.9" "C60" NA "A0"
"C1336186.C0006826.62" "C1336186" "G/P" "C0006826" "C00-C97.9" "C61" 57 NA
"C1336186.C0006826.63" "C1336186" "G/P" "C0006826" "C00-C97.9" "C62" 67 NA
"C1336186.C0006826.64" "C1336186" "G/P" "C0006826" "C00-C97.9" "C63" NA "A0"
"C1336186.C0006826.65" "C1336186" "G/P" "C0006826" "C00-C97.9" "C64" 68 NA
"C1336186.C0006826.66" "C1336186" "G/P" "C0006826" "C00-C97.9" "C65" 68 NA
"C1336186.C0006826.67" "C1336186" "G/P" "C0006826" "C00-C97.9" "C66" 68 NA
"C1336186.C0006826.68" "C1336186" "G/P" "C0006826" "C00-C97.9" "C67" 69 NA
"C1336186.C0006826.69" "C1336186" "G/P" "C0006826" "C00-C97.9" "C68" NA "A0"
"C1336186.C0006826.70" "C1336186" "G/P" "C0006826" "C00-C97.9" "C69" NA "A0"
"C1336186.C0006826.71" "C1336186" "G/P" "C0006826" "C00-C97.9" "C70" 70 NA
"C1336186.C0006826.72" "C1336186" "G/P" "C0006826" "C00-C97.9" "C71" 70 NA
"C1336186.C0006826.73" "C1336186" "G/P" "C0006826" "C00-C97.9" "C72" 70 NA
"C1336186.C0006826.74" "C1336186" "G/P" "C0006826" "C00-C97.9" "C73" 71 NA
"C1336186.C0006826.75" "C1336186" "G/P" "C0006826" "C00-C97.9" "C74" NA "A0"
"C1336186.C0006826.76" "C1336186" "G/P" "C0006826" "C00-C97.9" "C75" NA "A0"
"C1336186.C0006826.77" "C1336186" "G/P" "C0006826" "C00-C97.9" "C76" NA "A0"
"C1336186.C0006826.78" "C1336186" "G/P" "C0006826" "C00-C97.9" "C77" NA "A0"
"C1336186.C0006826.79" "C1336186" "G/P" "C0006826" "C00-C97.9" "C78" NA "A0"
"C1336186.C0006826.80" "C1336186" "G/P" "C0006826" "C00-C97.9" "C79" NA "A0"
"C1336186.C0006826.81" "C1336186" "G/P" "C0006826" "C00-C97.9" "C80" NA "A0"
"C1336186.C0006826.82" "C1336186" "G/P" "C0006826" "C00-C97.9" "C81" 72 NA
"C1336186.C0006826.83" "C1336186" "G/P" "C0006826" "C00-C97.9" "C82" 73 NA
"C1336186.C0006826.84" "C1336186" "G/P" "C0006826" "C00-C97.9" "C83" 73 NA
"C1336186.C0006826.85" "C1336186" "G/P" "C0006826" "C00-C97.9" "C84" 73 NA
"C1336186.C0006826.86" "C1336186" "G/P" "C0006826" "C00-C97.9" "C85" 73 NA
"C1336186.C0006826.87" "C1336186" "G/P" "C0006826" "C00-C97.9" "C86" NA "A0"
"C1336186.C0006826.88" "C1336186" "G/P" "C0006826" "C00-C97.9" "C87" NA "A0"
"C1336186.C0006826.89" "C1336186" "G/P" "C0006826" "C00-C97.9" "C88" 74 NA
"C1336186.C0006826.90" "C1336186" "G/P" "C0006826" "C00-C97.9" "C89" 74 NA
"C1336186.C0006826.91" "C1336186" "G/P" "C0006826" "C00-C97.9" "C90" 74 NA
"C1336186.C0006826.92" "C1336186" "G/P" "C0006826" "C00-C97.9" "C91" 75 NA
"C1336186.C0006826.93" "C1336186" "G/P" "C0006826" "C00-C97.9" "C92" 75 NA
"C1336186.C0006826.94" "C1336186" "G/P" "C0006826" "C00-C97.9" "C93" 75 NA
"C1336186.C0006826.95" "C1336186" "G/P" "C0006826" "C00-C97.9" "C94" 75 NA
"C1336186.C0006826.96" "C1336186" "G/P" "C0006826" "C00-C97.9" "C95" 75 NA
"C1336186.C0006826.97" "C1336186" "G/P" "C0006826" "C00-C97.9" "C96" 73 NA
"C1336186.C0006826.98" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.0" NA "B0"
"C1336186.C0006826.99" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.1" NA "B0"
"C1336186.C0006826.100" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.2" NA "B0"
"C1336186.C0006826.101" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.3" NA "B0"
"C1336186.C0006826.102" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.4" NA "B0"
"C1336186.C0006826.103" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.5" NA "B0"
"C1336186.C0006826.104" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.6" NA "B0"
"C1336186.C0006826.105" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.7" NA "B0"
"C1336186.C0006826.106" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.8" NA "B0"
"C1336186.C0006826.107" "C1336186" "G/P" "C0006826" "C00-C97.9" "C97.9" NA "B0"
"C1336186.C0006826.108" "C1336186" "G/P" "C0006826" "C80" "C80" NA "A0"
"C1336186.C0348343.1" "C1336186" "G/P" "C0348343" "C34.9" "C34.9" 53 NA
"C1336186.C0348343.2" "C1336186" "G/P" "C0348343" "C34" "C34" 53 NA
"C1336205.C0153574.1" "C1336205" "G/P" "C0153574" "C54" "C54" 56 NA
"C1336205.C0153574.2" "C1336205" "G/P" "C0153574" "C54.9" "C54.9" 56 NA
"C1336235.C0153574.1" "C1336235" "G/P" "C0153574" "C54" "C54" 56 NA
"C1336235.C0153574.2" "C1336235" "G/P" "C0153574" "C54.9" "C54.9" 56 NA
"C1336334.C0153574.1" "C1336334" "G/P" "C0153574" "C54" "C54" 56 NA
"C1336334.C0153574.2" "C1336334" "G/P" "C0153574" "C54.9" "C54.9" 56 NA
"C1711391.C0027651.1" "C1711391" "G/P" "C0027651" "C00-D48.9" "C00" 59 NA
"C1711391.C0027651.2" "C1711391" "G/P" "C0027651" "C00-D48.9" "C01" 59 NA
"C1711391.C0027651.3" "C1711391" "G/P" "C0027651" "C00-D48.9" "C02" 59 NA
"C1711391.C0027651.4" "C1711391" "G/P" "C0027651" "C00-D48.9" "C03" 59 NA
"C1711391.C0027651.5" "C1711391" "G/P" "C0027651" "C00-D48.9" "C04" 59 NA
"C1711391.C0027651.6" "C1711391" "G/P" "C0027651" "C00-D48.9" "C05" 59 NA
"C1711391.C0027651.7" "C1711391" "G/P" "C0027651" "C00-D48.9" "C06" 59 NA
"C1711391.C0027651.8" "C1711391" "G/P" "C0027651" "C00-D48.9" "C07" 59 NA
"C1711391.C0027651.9" "C1711391" "G/P" "C0027651" "C00-D48.9" "C08" 59 NA
"C1711391.C0027651.10" "C1711391" "G/P" "C0027651" "C00-D48.9" "C09" 61 NA
"C1711391.C0027651.11" "C1711391" "G/P" "C0027651" "C00-D48.9" "C10" 61 NA
"C1711391.C0027651.12" "C1711391" "G/P" "C0027651" "C00-D48.9" "C11" 60 NA
"C1711391.C0027651.13" "C1711391" "G/P" "C0027651" "C00-D48.9" "C12" 61 NA
"C1711391.C0027651.14" "C1711391" "G/P" "C0027651" "C00-D48.9" "C13" 61 NA
"C1711391.C0027651.15" "C1711391" "G/P" "C0027651" "C00-D48.9" "C14" NA "A0"
